UserAvgRating,BusinessAverageStars,NearestUserAverageStars,ReviewCategoryAverageStars,y
4.8,5,5.00,4.999613,5
3.99,4.5,4.50,4.760267,5
3.97,3.5,3.50,3.355911,5
2.57,2.5,2.50,1.685483,2
3.44,3.5,3.50,3.355911,5
3.61,4,4.00,4.148019,4
4.2,4.5,4.50,4.760267,4
3.4,4.5,4.50,4.760267,4
4,3.5,3.50,3.355911,3
3.6,4,4.00,4.148019,5
3.97,4.5,4.50,4.760267,5
3.65,4,4.00,4.148019,4
3.63,4.5,4.50,4.760267,5
3.43,3,3.00,2.367459,2
3.84,3,3.00,2.367459,4
3.85,4,4.00,4.148019,4
4.4,3,3.00,2.367459,5
3.76,3.5,3.50,3.355911,4
5,4.5,4.50,4.760267,5
3.45,4,4.00,4.148019,5
3.72,4,4.00,4.148019,5
4.38,4.5,4.50,4.760267,3
3.81,4,4.00,4.148019,3
3.48,3.5,3.50,3.355911,3
4.9,3.5,3.50,3.355911,5
4.82,3.5,3.50,3.355911,4
4.03,3.5,3.50,3.355911,4
3.85,4,4.00,4.148019,3
3.7,4,4.00,4.148019,4
4.03,4,4.00,4.148019,4
4.67,5,5.00,4.999613,5
3.8,4,4.00,4.148019,4
3.4,4.5,4.50,4.760267,3
4.3,5,5.00,4.999613,5
3.94,4.5,4.50,4.760267,5
4.2,4.5,4.50,4.760267,5
2.89,4,4.00,4.148019,3
3.73,3.5,3.50,3.355911,5
3.59,3.5,3.50,3.355911,2
2.06,4,4.00,4.148019,3
3.97,4,4.00,4.148019,5
4.07,4,4.00,4.148019,4
4.13,4.5,4.50,4.760267,5
3.71,3.5,3.50,3.355911,4
4.41,3.5,3.50,3.355911,5
3.84,4,4.00,4.148019,5
3.17,4,4.00,4.148019,5
4.2,4.5,4.50,4.760267,4
5,4.5,4.50,4.760267,5
3.72,4,4.00,4.148019,3
4.25,4,4.00,4.148019,5
3.52,4.5,4.50,4.760267,5
3.99,4.5,4.50,4.760267,5
3.31,4.5,4.50,4.760267,1
4.48,4,4.00,4.148019,4
3.11,4.5,4.50,4.760267,4
5,4,4.00,4.148019,5
4.01,4.5,4.50,4.760267,5
4.02,4.5,4.50,4.760267,2
4.12,4,4.00,4.148019,4
3.51,3.5,3.50,3.355911,2
4.6,3.5,3.50,3.355911,4
4.41,4,4.00,4.148019,5
2.86,4.5,4.50,4.760267,5
