TestIndex,UserAvgRating,BusinessAverageStars,NearestUserAverageStars,ReviewCategoryAverageStars,y
0,3.81,4,4.00,4.148019,NULL
1,4.36,4,4.00,4.148019,NULL
2,3.59,4,4.00,4.148019,NULL
3,2.76,4.5,4.50,4.760267,NULL
4,2.69,2.5,2.50,1.685483,NULL
5,3.84,4.5,4.50,4.760267,NULL
6,4.1,4,4.00,4.148019,NULL
7,3.92,3.5,3.50,3.355911,NULL
8,4.06,4,4.00,4.148019,NULL
9,4,5,5.00,4.999613,NULL
10,4.25,4,4.00,4.148019,NULL
11,3.28,3.5,3.50,3.355911,NULL
12,3.6,3.5,3.50,3.355911,NULL
13,4.11,4.5,4.50,4.760267,NULL
14,3.87,3.5,3.50,3.355911,NULL
15,4,4,4.00,4.148019,NULL
16,2.9,4,4.00,4.148019,NULL
17,3.49,4,4.00,4.148019,NULL
18,3.48,2.5,2.50,1.685483,NULL
19,4.25,3.5,3.50,3.355911,NULL
20,4.75,4.5,4.50,4.760267,NULL
21,3.85,3,3.00,2.367459,NULL
22,3.67,3.5,3.50,3.355911,NULL
23,3.36,5,5.00,4.999613,NULL
24,3.36,3.5,3.50,3.355911,NULL
25,3.48,4.5,4.50,4.760267,NULL
26,4.42,4,4.00,4.148019,NULL
27,4.58,4,4.00,4.148019,NULL
28,3.47,3.5,3.50,3.355911,NULL
29,4.3,4.5,4.50,4.760267,NULL
30,3.99,4.5,4.50,4.760267,NULL
31,4.2,4,4.00,4.148019,NULL
32,3.48,4.5,4.50,4.760267,NULL
33,2.9,3.5,3.50,3.355911,NULL
34,4.38,4.5,4.50,4.760267,NULL
35,3.68,4,4.00,4.148019,NULL
36,2.9,2.5,2.50,1.685483,NULL
37,3.51,4,4.00,4.148019,NULL
38,4.54,4,4.00,4.148019,NULL
39,2.33,4.5,4.50,4.760267,NULL
40,4.26,3.5,3.50,3.355911,NULL
41,4.15,4.5,4.50,4.760267,NULL
42,3.43,4.5,4.50,4.760267,NULL
43,3.85,4,4.00,4.148019,NULL
44,3.84,4,4.00,4.148019,NULL
45,3.85,4,4.00,4.148019,NULL
46,3.13,3,3.00,2.367459,NULL
47,4.56,4.5,4.50,4.760267,NULL
48,3.67,3.5,3.50,3.355911,NULL
49,3.95,4,4.00,4.148019,NULL
50,3.33,2.5,2.50,1.685483,NULL
51,3.98,3.5,3.50,3.355911,NULL
52,3.85,4,4.00,4.148019,NULL
53,3.82,2.5,2.50,1.685483,NULL
54,4.81,5,5.00,4.999613,NULL
55,4.06,4,4.00,4.148019,NULL
56,3.58,3.5,3.50,3.355911,NULL
57,3.61,4,4.00,4.148019,NULL
58,3.81,3.5,3.50,3.355911,NULL
59,4.23,4,4.00,4.148019,NULL
60,4.58,3.5,3.50,3.355911,NULL
61,4.35,3.5,3.50,3.355911,NULL
62,3.43,4,4.00,4.148019,NULL
63,4.8,4,4.00,4.148019,NULL
64,3.48,4,4.00,4.148019,NULL
65,2.86,4.5,4.50,4.760267,NULL
66,2.28,2.5,2.50,1.685483,NULL
67,4.6,4,4.00,4.148019,NULL
68,3.6,3,3.00,2.367459,NULL
69,3.77,4.5,4.50,4.760267,NULL
70,3,3.5,3.50,3.355911,NULL
71,5,5,5.00,4.999613,NULL
72,3.8,4,4.00,4.148019,NULL
73,3.91,3.5,3.50,3.355911,NULL
74,3,4,4.00,4.148019,NULL
75,3.6,4,4.00,4.148019,NULL
76,4.4,4,4.00,4.148019,NULL
77,3.53,3.5,3.50,3.355911,NULL
78,3.73,4.5,4.50,4.760267,NULL
79,4.07,4,4.00,4.148019,NULL
80,4.06,3.5,3.50,3.355911,NULL
81,3.31,3,3.00,2.367459,NULL
82,4.41,4.5,4.50,4.760267,NULL
83,3.8,4,4.00,4.148019,NULL
84,3.95,4,4.00,4.148019,NULL
85,3.56,4,4.00,4.148019,NULL
86,5,4,4.00,4.148019,NULL
87,3.6,3.5,3.50,3.355911,NULL
88,5,5,5.00,4.999613,NULL
89,3.55,3,3.00,2.367459,NULL
90,4.75,2.5,2.50,1.685483,NULL
91,3.88,4.5,4.50,4.760267,NULL
92,2.83,2.5,2.50,1.685483,NULL
93,4.59,3.5,3.50,3.355911,NULL
94,3.62,3.5,3.50,3.355911,NULL
95,3.62,3,3.00,2.367459,NULL
96,2.13,4,4.00,4.148019,NULL
97,3.91,4,4.00,4.148019,NULL
98,4.71,4,4.00,4.148019,NULL
99,3.16,4,4.00,4.148019,NULL
100,4.01,4,4.00,4.148019,NULL
101,3.87,4,4.00,4.148019,NULL
102,4.42,3.5,3.50,3.355911,NULL
103,4.17,4,4.00,4.148019,NULL
104,4.41,3.5,3.50,3.355911,NULL
105,4.39,3.5,3.50,3.355911,NULL
106,4.43,4.5,4.50,4.760267,NULL
107,3.98,3.5,3.50,3.355911,NULL
108,3.52,4.5,4.50,4.760267,NULL
109,3.47,4,4.00,4.148019,NULL
110,3.97,4,4.00,4.148019,NULL
111,3.71,4.5,4.50,4.760267,NULL
112,3.23,3.5,3.50,3.355911,NULL
